DATE,MCAP
1.65689E+12,9.11843E+11
1.65698E+12,9.49731E+11
1.65707E+12,9.43258E+11
1.65715E+12,9.62082E+11
1.65724E+12,9.9835E+11
1.65732E+12,1.00149E+12
1.65741E+12,9.97535E+11
1.6575E+12,9.67184E+11
1.65758E+12,9.2681E+11
1.65767E+12,8.99572E+11
1.65776E+12,9.39892E+11
1.65784E+12,9.5924E+11
1.65793E+12,9.77006E+11
1.65802E+12,1.01184E+12
1.6581E+12,9.97825E+11
1.65819E+12,1.07374E+12
1.65828E+12,1.09362E+12
1.65836E+12,1.08478E+12
1.65845E+12,1.10271E+12
1.65853E+12,1.08096E+12
1.65862E+12,1.0733E+12
1.65871E+12,1.08514E+12
1.65879E+12,1.0104E+12
1.65888E+12,1.01812E+12
1.65897E+12,1.09109E+12
1.65905E+12,1.14137E+12
1.65914E+12,1.151E+12
1.65923E+12,1.14163E+12
1.65931E+12,1.12842E+12
1.6594E+12,1.12404E+12
1.65948E+12,1.09502E+12
1.65957E+12,1.1252E+12
1.65966E+12,1.10846E+12
1.65974E+12,1.14807E+12
1.65983E+12,1.12962E+12
1.65992E+12,1.14891E+12
1.66E+12,1.17222E+12
1.66009E+12,1.13047E+12
1.66018E+12,1.20252E+12
1.66026E+12,1.19563E+12
1.66035E+12,1.21861E+12
1.66044E+12,1.22158E+12
1.66052E+12,1.21907E+12
1.66061E+12,1.2015E+12
1.66069E+12,1.19087E+12
1.66078E+12,1.1682E+12
1.66087E+12,1.14359E+12
1.66095E+12,1.06069E+12
1.66104E+12,1.05771E+12
1.66113E+12,1.07239E+12
1.66121E+12,1.06925E+12
1.6613E+12,1.07118E+12
1.66139E+12,1.08164E+12
1.66147E+12,1.08532E+12
1.66156E+12,1.01555E+12
1.66164E+12,1.00581E+12
1.66173E+12,9.88318E+11
1.66182E+12,1.02808E+12
1.6619E+12,1.01753E+12
1.66199E+12,1.02127E+12
1.66208E+12,1.02295E+12
1.66216E+12,1.02172E+12
1.66225E+12,1.01951E+12
1.66234E+12,1.02497E+12
1.66242E+12,1.04612E+12
1.66251E+12,9.92757E+11
1.6626E+12,1.02126E+12
1.66268E+12,1.02852E+12
1.66277E+12,1.091E+12
1.66285E+12,1.1084E+12
1.66294E+12,1.11001E+12
1.66303E+12,1.1127E+12
1.66311E+12,1.02995E+12
1.6632E+12,1.04306E+12
1.66329E+12,1.00245E+12
1.66337E+12,1.00444E+12
1.66346E+12,1.01281E+12
1.66355E+12,9.70742E+11
1.66363E+12,9.85128E+11
1.66372E+12,9.60593E+11
1.6638E+12,9.39523E+11
1.66389E+12,9.83648E+11
1.66398E+12,9.7923E+11
1.66406E+12,9.72648E+11
1.66415E+12,9.62031E+11
1.66424E+12,9.7672E+11
1.66432E+12,9.72466E+11
1.66441E+12,9.81531E+11
1.6645E+12,9.85771E+11
1.66458E+12,9.80867E+11
1.66467E+12,9.73673E+11
1.66476E+12,9.61431E+11
1.66484E+12,9.82344E+11
1.66493E+12,1.00906E+12
1.66501E+12,1.0035E+12
1.6651E+12,9.96301E+11
1.66519E+12,9.86025E+11
1.66527E+12,9.7917E+11
1.66536E+12,9.83931E+11
1.66545E+12,9.63892E+11
1.66553E+12,9.57328E+11
1.66562E+12,9.60713E+11
1.66571E+12,9.62816E+11
1.66579E+12,9.59404E+11
1.66588E+12,9.53496E+11
1.66596E+12,9.63654E+11
1.66605E+12,9.78025E+11
1.66614E+12,9.66409E+11
1.66622E+12,9.52628E+11
1.66631E+12,9.4887E+11
1.6664E+12,9.56533E+11
1.66648E+12,9.60796E+11
1.66657E+12,9.80002E+11
1.66666E+12,9.67804E+11
1.66674E+12,1.00928E+12
1.66683E+12,1.04423E+12
1.66692E+12,1.02438E+12
1.667E+12,1.04408E+12
1.66709E+12,1.06555E+12
1.66717E+12,1.0577E+12
1.66726E+12,1.05792E+12
1.66735E+12,1.05782E+12
1.66743E+12,1.03789E+12
1.66752E+12,1.04606E+12
1.66761E+12,1.10119E+12
1.66769E+12,1.10307E+12
1.66778E+12,1.07507E+12
1.66787E+12,1.06946E+12
1.66795E+12,9.61334E+11
1.66804E+12,8.3148E+11
1.66812E+12,9.24732E+11
1.66821E+12,9.04671E+11
1.6683E+12,8.81117E+11
1.66838E+12,8.59074E+11
1.66847E+12,8.71999E+11
1.66856E+12,8.83191E+11
1.66864E+12,8.69461E+11
1.66873E+12,8.66155E+11
1.66882E+12,8.70079E+11
1.6689E+12,8.71234E+11
1.66899E+12,8.42036E+11
1.66908E+12,8.21262E+11
1.66916E+12,8.42069E+11
1.66925E+12,8.69867E+11
1.66933E+12,8.71923E+11
1.66942E+12,8.68706E+11
1.66951E+12,8.7124E+11
1.66959E+12,8.71314E+11
1.66968E+12,8.54788E+11
1.66977E+12,8.69369E+11
1.66985E+12,9.0347E+11
1.66994E+12,8.90523E+11
1.67003E+12,9.01827E+11
1.67011E+12,8.84567E+11
1.6702E+12,8.97522E+11
1.67028E+12,8.89346E+11
1.67037E+12,8.93147E+11
1.67046E+12,8.77105E+11
1.67054E+12,8.95337E+11
1.67063E+12,8.89757E+11
1.67072E+12,8.89674E+11
1.6708E+12,8.86594E+11
1.67089E+12,8.86757E+11
1.67098E+12,9.06487E+11
1.67106E+12,9.02895E+11
1.67115E+12,8.81291E+11
1.67124E+12,8.33821E+11
1.67132E+12,8.44733E+11
1.67141E+12,8.44056E+11
1.67149E+12,8.25919E+11
1.67158E+12,8.49282E+11
1.67167E+12,8.43532E+11
1.67175E+12,8.44846E+11
1.67184E+12,8.443E+11
1.67193E+12,8.45342E+11
1.67201E+12,8.44107E+11
1.6721E+12,8.48192E+11
1.67219E+12,8.40489E+11
1.67227E+12,8.27396E+11
1.67236E+12,8.31262E+11
1.67244E+12,8.29262E+11
1.67253E+12,8.28579E+11
1.67262E+12,8.32069E+11
1.6727E+12,8.39088E+11
1.67279E+12,8.39763E+11
1.67288E+12,8.55265E+11
1.67296E+12,8.51366E+11
1.67305E+12,8.58847E+11
1.67314E+12,8.5863E+11
1.67322E+12,8.7097E+11
1.67331E+12,8.84076E+11
1.6734E+12,8.93999E+11
1.67348E+12,9.20221E+11
1.67357E+12,9.43425E+11
1.67365E+12,9.80157E+11
1.67374E+12,1.02356E+12
1.67383E+12,1.02333E+12
1.67391E+12,1.0316E+12
1.674E+12,1.02993E+12
1.67409E+12,9.94668E+11
1.67417E+12,1.01297E+12
1.67426E+12,1.07756E+12
1.67435E+12,1.07021E+12
1.67443E+12,1.07615E+12
1.67452E+12,1.08669E+12
1.6746E+12,1.05819E+12
1.67469E+12,1.08439E+12
1.67478E+12,1.08544E+12
1.67486E+12,1.09178E+12
1.67495E+12,1.08483E+12
1.67504E+12,1.11893E+12
1.67512E+12,1.07529E+12
1.67521E+12,1.08981E+12
1.6753E+12,1.11744E+12
1.67538E+12,1.11623E+12
1.67547E+12,1.12352E+12
1.67556E+12,1.12438E+12
1.67564E+12,1.10506E+12
1.67573E+12,1.09668E+12
1.67581E+12,1.13696E+12
1.6759E+12,1.12349E+12
1.67599E+12,1.06057E+12
1.67607E+12,1.05576E+12
1.67616E+12,1.06948E+12
1.67625E+12,1.06153E+12
1.67633E+12,1.05406E+12
1.67642E+12,1.07884E+12
1.67651E+12,1.15559E+12
1.67659E+12,1.1197E+12
1.67668E+12,1.17082E+12
1.67676E+12,1.17105E+12
1.67685E+12,1.16006E+12
1.67694E+12,1.18165E+12
1.67702E+12,1.15935E+12
1.67711E+12,1.15134E+12
1.6772E+12,1.14775E+12
1.67728E+12,1.11325E+12
1.67737E+12,1.10893E+12
1.67746E+12,1.1308E+12
1.67754E+12,1.12472E+12
1.67763E+12,1.10694E+12
1.67772E+12,1.13296E+12
1.6778E+12,1.12159E+12
1.67789E+12,1.07725E+12
1.67797E+12,1.07269E+12
1.67806E+12,1.0738E+12
1.67815E+12,1.07316E+12
1.67823E+12,1.06547E+12
1.67832E+12,1.04175E+12
1.67841E+12,9.80412E+11
1.67849E+12,9.75616E+11
1.67858E+12,9.81991E+11
1.67867E+12,1.05068E+12
1.67875E+12,1.11416E+12
1.67884E+12,1.13502E+12
1.67892E+12,1.10684E+12
1.67901E+12,1.13284E+12
1.6791E+12,1.20902E+12
1.67918E+12,1.19161E+12
1.67927E+12,1.22202E+12
1.67936E+12,1.201E+12
1.67944E+12,1.22936E+12
1.67953E+12,1.19142E+12
1.67962E+12,1.23183E+12
1.6797E+12,1.19954E+12
1.67979E+12,1.19678E+12
1.67988E+12,1.20916E+12
1.67996E+12,1.17608E+12
1.68005E+12,1.19279E+12
1.68013E+12,1.2254E+12
1.68022E+12,1.21626E+12
1.68031E+12,1.23477E+12
1.68039E+12,1.23389E+12
1.68048E+12,1.22205E+12
1.68057E+12,1.21435E+12
1.68065E+12,1.23565E+12
1.68074E+12,1.24207E+12
1.68083E+12,1.2298E+12
1.68091E+12,1.22547E+12
1.681E+12,1.2228E+12
1.68108E+12,1.23387E+12
1.68117E+12,1.27123E+12
1.68126E+12,1.28235E+12
1.68134E+12,1.27744E+12
1.68143E+12,1.30786E+12
1.68152E+12,1.32787E+12
1.6816E+12,1.32546E+12
1.68169E+12,1.33548E+12
1.68178E+12,1.30249E+12
1.68186E+12,1.33452E+12
1.68195E+12,1.25811E+12
1.68204E+12,1.24156E+12
1.68212E+12,1.19891E+12
1.68221E+12,1.22237E+12
