Date,Close/Last,Volume,Open,High,Low
11/28/2018,50.78,N/A,50.78,50.78,50.78
11/27/2018,50.78,N/A,50.78,50.78,50.78
11/26/2018,50.78,N/A,50.78,50.78,50.78
11/23/2018,50.78,118,50.78,50.78,50.78
11/21/2018,51.2201,691,51.2471,51.2477,51.20
11/20/2018,51.77,N/A,51.77,51.77,51.77
11/19/2018,51.77,300,51.77,51.77,51.77
11/16/2018,52.40,7559,52.2599,52.40,52.25
11/15/2018,53.0199,N/A,53.0199,53.0199,53.0199
11/14/2018,53.0199,N/A,53.0199,53.0199,53.0199
11/13/2018,53.0199,N/A,53.0199,53.0199,53.0199
11/12/2018,53.0199,N/A,53.0199,53.0199,53.0199
11/09/2018,53.0199,703,53.07,53.07,53.0158
11/08/2018,52.02,N/A,52.02,52.02,52.02
11/07/2018,52.02,N/A,52.02,52.02,52.02
11/06/2018,52.02,N/A,52.02,52.02,52.02
11/05/2018,52.02,164,52.02,52.02,52.02
11/02/2018,51.8245,300,51.8244,51.8245,51.8244
11/01/2018,51.84,347,51.84,51.84,51.84
10/31/2018,51.7869,300,51.7869,51.7869,51.7869
10/30/2018,50.455,574,50.14,50.775,50.14
10/29/2018,50.61,N/A,50.61,50.61,50.61
10/26/2018,50.61,N/A,50.61,50.61,50.61
10/25/2018,50.61,N/A,50.61,50.61,50.61
10/24/2018,50.61,788,51.80,51.80,50.61
10/23/2018,51.24,201,51.24,51.24,51.24
10/22/2018,52.32,5515,52.3185,52.33,52.3185
10/19/2018,52.88,N/A,52.88,52.88,52.88
10/18/2018,52.88,308,53.2399,53.2399,52.88
10/17/2018,53.2514,709,53.2514,53.2514,53.2514
10/16/2018,52.7779,203,52.7779,52.7779,52.7779
10/15/2018,52.62,1052,52.61,52.62,52.61
10/12/2018,52.4214,3179,52.91,52.91,52.09
10/11/2018,52.0188,459,52.0188,52.0188,52.0188
10/10/2018,54.7267,N/A,54.7267,54.7267,54.7267
10/09/2018,54.7267,N/A,54.7267,54.7267,54.7267
10/08/2018,54.7267,104,54.7267,54.7267,54.7267
10/05/2018,55.331,N/A,55.331,55.331,55.331
10/04/2018,55.331,N/A,55.331,55.331,55.331
10/03/2018,55.331,N/A,55.331,55.331,55.331
10/02/2018,55.331,N/A,55.331,55.331,55.331
10/01/2018,55.331,2251,55.40,55.40,55.331
09/28/2018,55.3101,N/A,55.3101,55.3101,55.3101
09/27/2018,55.3101,124,55.3101,55.3101,55.3101
09/26/2018,55.10,1060,55.3132,55.3132,55.10
09/25/2018,55.76,606,55.7628,55.7628,55.76
09/24/2018,56.14,242,56.14,56.14,56.14
09/21/2018,54.913,N/A,54.913,54.913,54.913
09/20/2018,54.913,N/A,54.913,54.913,54.913
09/19/2018,54.913,N/A,54.913,54.913,54.913
09/18/2018,54.913,N/A,54.913,54.913,54.913
09/17/2018,54.913,N/A,54.913,54.913,54.913
09/14/2018,54.913,N/A,54.913,54.913,54.913
09/13/2018,54.913,N/A,54.913,54.913,54.913
09/12/2018,54.913,N/A,54.913,54.913,54.913
09/11/2018,54.913,N/A,54.913,54.913,54.913
09/10/2018,54.913,N/A,54.913,54.913,54.913
09/07/2018,54.913,N/A,54.913,54.913,54.913
09/06/2018,54.913,N/A,54.913,54.913,54.913
09/05/2018,54.913,875,54.76,54.913,54.76
09/04/2018,55.00,470,55.00,55.00,55.00
08/31/2018,55.35,N/A,55.35,55.35,55.35
08/30/2018,55.35,181,55.35,55.35,55.35
08/29/2018,55.0468,100,55.0468,55.0468,55.0468
08/28/2018,55.1397,256,55.1397,55.1397,55.1397
08/27/2018,54.6273,N/A,54.6273,54.6273,54.6273
08/24/2018,54.6273,102,54.6273,54.6273,54.6273
08/23/2018,54.359,364,54.359,54.359,54.359
08/22/2018,54.52,510,54.6043,54.6043,54.52
08/21/2018,54.47,N/A,54.47,54.47,54.47
08/20/2018,54.47,320,54.47,54.47,54.47
08/17/2018,54.27,1603,53.92,54.27,53.92
08/16/2018,54.1814,380,54.1446,54.1814,54.1446
08/15/2018,53.72,N/A,53.72,53.72,53.72
08/14/2018,53.72,121,53.72,53.72,53.72
08/13/2018,53.87,N/A,53.87,53.87,53.87
08/10/2018,53.87,142,53.87,53.87,53.87
08/09/2018,54.2897,100,54.2897,54.2897,54.2897
08/08/2018,54.2692,N/A,54.2692,54.2692,54.2692
08/07/2018,54.2692,N/A,54.2692,54.2692,54.2692
08/06/2018,54.2692,502,54.2692,54.2692,54.2692
08/03/2018,53.94,N/A,53.94,53.94,53.94
08/02/2018,53.94,N/A,53.94,53.94,53.94
08/01/2018,53.94,N/A,53.94,53.94,53.94
07/31/2018,53.94,N/A,53.94,53.94,53.94
07/30/2018,53.94,211,53.94,53.94,53.94
07/27/2018,53.93,N/A,53.93,53.93,53.93
07/26/2018,53.93,401,53.9303,53.9303,53.93
07/25/2018,53.81,190,53.81,53.81,53.81
07/24/2018,53.14,N/A,53.14,53.14,53.14
